product_id,product_name,aisle_id,department_id,ndbno
65,Organic Red Wine & Olive Oil Dressing Organic,89,13,45223427 
66,European Style Spring Mix,123,4,45178385 
67,"Jelly, Blackberry",88,13,45017861 
68,"Pancake Mix, Buttermilk",130,14,45021294 
69,Vanilla with Almond Milk Iced Coffee,26,7,45362246 
70,Sweet Cooking Rice Seasoning,66,6,45240429 
72,Organic Honeycrisp Apples,100,21,45353807 
73,Jasmine Tea Unfiltered Ginger Ale,77,7,45238071 
74,Artisan Chick'n & Apple Sausage,14,20,21143 
76,Spinach Basil Garlic Linguini,12,9,45205937 
77,Coconut Chocolate Chip Energy Bar,3,19,45341558 
78,Nutter Butter Cookie Bites Go-Pak,61,19,45309873 
79,Wild Albacore Tuna No Salt Added,95,15,45065043 
80,French  Tarragon Wine Vinegar,19,13,45222482 
81,Blakes Chicken Parmesan Dinner,38,1,45133933 
82,All Natural 100% Apple Juice,98,7,45215381 
83,100% Whole Wheat Pita Bread,128,3,18042 
84,Lamb Shank,7,12,17068 
85,Soppressata Piccante,96,20,45048911 
87,Classics Earl Grey Tea,94,7,45358775 
89,Yogurt Fruit Dip Sliced Apples,123,4,45231191 
90,Smorz Cereal,121,14,08142 
93,Uncured Cracked Pepper Beef,23,19,45294711 
94,Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups,92,18,45361444 
95,Organic Rice Vinegar,66,6,45286674 
97,Organic Chamomile Lemon Tea,94,7,45106784 
98,2% Yellow American Cheese,2,16,45280488 
99,Local Living Butter Lettuce,83,4,45260531 
100,Peanut Butter & Strawberry Jam Sandwich,38,1,45308584 
101,"Bread, Healthy Whole Grain",112,3,45102319 
102,Danish Butter Cookies,61,19,45326913 
103,Sprouted Kale Cracker,78,19,45242066 
104,High Fiber Tomato Basil Soup,69,15,45273542 
106,Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal,92,18,45349078 
107,Mild Salsa Divino,51,13,45077841 
108,Organic Sprouted Barley Bread,112,3,45002836 
109,Grape Leaf Hummus Wrap,13,20,45345109 
110,Uncured Turkey Bologna,100,21,07011 
112,Hot Tomatillo Salsa,51,13,45199796 
114,Light Savory Beef Barley Vegetable Soup,69,15,45313529 
115,Scooby-Doo! Fruit Flavored Snacks,50,19,45310746 
116,English Muffins,93,3,18264 
117,Petit Suisse Fruit,2,16,45098234 
118,Ground Turkey Chub,34,1,05305 
119,Chardonnay Paso Robles,62,5,14160 
120,Cauliflower Florettes,123,4,45262671 
121,Sharp Cheddar,21,16,01270 
122,Pomegranate Molasses,29,13,19304 
123,Sherry Reserve Vinegar,19,13,45315533 
124,Sun Cups Dark Chocolate,45,19,45090211 
126,Hot & Spicy Chicken Flavor Ramen Noodles,4,9,06983 
127,Marscapone,108,16,45011863
128,Organic Wild Blueberries,116,1,45323699 
129,Traditional Chicken & Orzo with Lemon Soup,69,15,45313713 
130,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,37,1,19095 
131,Brioche Bachelor Loaf,93,3,45268485 
132,Yogurt Strawberry Pomegranate,120,16,45217912 
135,Dark Chocolate Ice Cream Topping,103,19,45120824 
136,Simple,45,19,45345208 
137,Very Vanilla Soymilk,91,16,16245 
138,Olli Napoli Salami,96,20,45145196 
139,"Zita Cut, No. 118",131,9,45017103 
140,Chips Onion Chipotle Garlic,107,19,45314496 
141,Restaurant Style Organic Chia & Quinoa Tortilla Chips,107,19,45219028 
142,Arugula Salad,123,4,45203496 
143,Organic Lemons,24,4,45255416 
144,Coarse Grind Garlic Powder & Parsley Blend,104,13,45107233 
145,Traditional Water Crackers,78,19,45316144 
147,Organic Ranch Veggie Dip,67,20,45268054 
148,Nectarines,24,4,09191 
149,Wild Blueberry All Natural Fruit Spread,88,13,45057097 
150,Brut Rosé,134,5,45291557 
154,"Corn Dogs, Mini, Honey Crunchy Flavor",129,1,45098724 
155,Artisan Ciabatta,58,1,45361681 
156,Extra Spearmint Sugar-Free Gum,46,19,45319170 
157,Living Organic Cilantro,16,4,45364147 
158,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,96,20,45011918 
161,Hacho Miso Aged & Fermented Soybeans,66,6,45078463 
162,Organic Mini Homestyle Waffles,52,1,45187165 
163,Dressing Bleu Cheese,89,13,45351241 
164,Peanut Butter Cacao Quinoa Clusters,3,19,45314655 
165,Wild Chanterelle Mushroom Ravioli,12,9,45025440 
166,Garlic Parmesan Pita Bread Chips,107,19,45221352 
167,Sparkling Blush Grape Juice,77,7,45170818 
168,Halves & Pieces Walnuts,17,13,45362343 
169,Extra Sharp Cheddar Cheese,21,16,45307065 
171,Steakhouse Onion Burger with Garlic Seasoning,5,13,45106973 
172,Gluten Free All Natural Chocolate Chip Cookies,61,19,45205882 
173,Habanero Lime Shrimp Flavor Ramen Noodle Soup,4,9,45123937 
175,T Bone Steak,122,12,13235 
176,Original Turkey,96,20,45141504 
177,Citrus Terere Yerba Mate,94,7,45267848 
178,Vegan Santa Fe Style Flour Tortilla Rolled Tacos,42,1,45079927 
179,Penne Rigate With Spinach,131,9,45268439 
180,Simply Beyond Black Bean Tortilla Chips,107,19,45163967 
181,Country Style Baked Beans,59,15,45118068 
183,Cookie Dough Performance Energy,3,19,45319384 
184,Kisses Milk Chocolate Candy,45,19,45333918 
185,Chicken Nugget Meal,38,1,45134414 
187,Wild Sardines in Marinara Sauce,95,15,45037073 
188,Mild El Nino Salsa,67,20,45027053 
189,Healthfull Nuts & Seeds Bread,112,3,45338105 
190,Classic Culinary Low Sodium Vegetable Broth,69,15,45170474 
191,Medium Spicy Butter Chicken Simmer Sauce,9,9,45283415 
192,Israeli Style Gefilte Fish,33,6,45356482 
193,fruitwater® Strawberry Kiwi Sparkling Water,98,7,45142807 
194,Lamb Rib Chops,122,12,45184056 
195,Grade A Pasteurized 2% Milkfat Lowfat Cottage Cheese with Pineapple,108,16,01015 
196,Soda,77,7,45153191 
197,Cold Brew Coffee Tahitian Vanilla,26,7,45147928 
198,Tzatziki Cucumber Sauce,67,20,45198347 
199,Herb Thyme Clamshell,16,4,02049 
201,Sloppy Joe,38,1,45123042 
202,Spinach & Feta Pierogi,38,1,45169075 
205,Chocolate Mint Cookie Crunch Nutrition Bar,3,19,45201061 
206,Roasted Vegetable Soufflé,38,1,45221647 
207,Minis Candy Bars,45,19,45120491 
208,Vanilla Almond Cashew Almondmilk Cashewmilk Blend,91,16,45332885 
209,Italian Pasta Salad,1,20,45292538 
210,Homemade Hot Arrabbiata Fra Diavolo Sauce,9,9,45123236 
211,Gluten Free Organic Cereal Coconut Maple Vanilla,130,14,45277961 
212,Organic Blue Corn Sea Salt Tortilla Chips,107,19,45143901 
213,Tapatio Salsa Picante Hot Sauce Tortilla Chips,107,19,45119050 
215,Sambal Oelek Ground Fresh Chili Paste,66,6,45240395 
216,"Gluten Free Oatmeal, Variety Pack",130,14,45029802 
217,"String Cheese, Mozzarella",108,16,45126209 
218,"6\"" Organic Carrot Cake",8,3,45099796 
221,Cayenne Lemonade Made With Raw Tristate Honey,31,7,45275502 
222,Honey Nut Oatmeal Squares,121,14,45177596 
223,Kiwi Strawberry Sparkling Water,115,7,45142807 
225,3 Seed Blue Corn Dipping Chips,107,19,45324657 
226,Shaved Parmesan Cheese,21,16,45106288 
227,Triple Chocolate Snack Size,45,19,45134482 
228,Organic Soups Lentil,69,15,45218057 
230,Vanilla Cream Soda,77,7,45144271 
231,Low Sodium Turkey,49,12,11949 
232,Blue Bottle Coffee Frozen Bar,37,1,45167484 
233,Chinese Breakfast Black Tea,94,7,45012197 
234,Tennessee Whiskey,124,5,45337651 
235,Gluten Free Blueberry Muffin Mix,105,13,45089020 
237,Brambleberry Herbal Tea,94,7,45160085 
238,Alpha-Bits Multigrain Cereal,121,14,08002 
239,Chicharrones Picante Flavor Pork Rinds,107,19,45006888 
240,Nature's Seasons Seasoning Blend,104,13,45182757 
241,Shrimp with Pasta & Vegetables,38,1,45109668 
242,Original Red Twists,45,19,45123289 
243,Taco Reduced Sodium Seasoning Mix,5,13,45096462 
244,Organic Roasted Garlic Pasta Sauce,9,9,45103316 
245,Poppy Seed Bagels,93,3,45054765 
247,Perfectly Thymed Pita Crisps Baked,107,19,45350672 
248,Dried Sweetened Cranberries,117,19,45062039 
249,"Pinot Grigio, California, 2010",62,5,14113 
250,"Authentic Deep Dish, Spinach & Garlic Pizza",79,1,45098631 
252,"Waffles, Red Berry",121,14,45290544 
253,Organic Vegetable Greens & Greens Juice Blend,31,7,45136180 
254,Honey Mustard,72,13,45032168 
256,Island Fruits Fruit Snacks,50,19,45017561 
257,Key Lime Soda,77,7,45324782 
258,Vegetable Pot Pie,38,1,45232677 
259,Imported Italian Solid Light Tuna In Pure Olive Oil,95,15,45018884 
260,Cantaloupe,24,4,09181 
261,Organic Southwestern Burrito,38,1,45267482 
262,Petite Dill Pickles,110,13,45278332 
264,Non-Fat Blueberry on the Bottom Greek Yogurt,120,16,45082814 
266,Rio Berry,64,7,45117564 
267,Triple Chocolate Ripple,37,1,45318812 
269,Stuffed Crust Five Cheese Pizza,79,1,21512 
271,TAI PEI      14OZ.SWEET & SOUR CHKN,38,1,45138124 
273,Thin Stackers Brown Rice  Salt Free,107,19,45309535 
275,Caramel Sauce,103,19,45106319 
276,French Vanilla Ice Cream,37,1,19090 
277,Diet Root Beer,77,7,45160682 
278,Instant Mashed Potatoes,4,9,45282993 
279,Everyday Detox Dandelion Tea,94,7,45359792 
281,Chai Tea Bags,94,7,45149994 
283,Organic Whole Wheat Elbows,131,9,45118397 
284,Organic Spicy Heirloom Marinara Sauce,9,9,45016894 
285,Mini Nilla Wafers Munch Pack,61,19,45309109 
286,Lite Poppy Seed Dressing Lite,89,13,45218962 
287,Turkey,96,20,04575 
288,Original Sprouted Grains Protein & Fiber Hot Oatmeal,130,14,45045239 
289,100% Juice No Sugar Added Fruit Punch,98,7,45238482 
290,Organic Peppermint Lemonade,31,7,45137853 
294,Minis Original Saltine Crackers,78,19,45295866 
297,"Write Bros Ball Point Pens, Cap-Pen, Medium (1.0 mm), Black Ink",100,21,45096808 
298,Brisk With Lemon Iced Tea,94,7,45255958 
299,Organic Apple Spinach Kale Coconut Water Superjuice,98,7,45296048 
300,Organic Enriched Unbleached White Flour,17,13,20581 
303,"Candy, Original",45,19,45227519 
304,Dry Roasted Pistachios,117,19,45158140 
305,Wild Forest Raw Neem Honey,29,13,45083557 
306,Gold Potatoes,83,4,45277231 
307,Precious Mozzarella Cheese,21,16,45016898 
309,Graduates Lil' Entrees Spiral Pasta In Turkey Meat Sauce With Green & Yellow Beans,92,18,03216 
310,"Crackers, Puffed, Corn, Quinoa & Sesame",78,19,45314764 
311,Naturals Savory Turkey Breakfast Sausage,52,1,45355554 
312,Juicing Carrots,83,4,11655 
313,Peppermint/Banana Split Variety Pack Frozen Dairy Dessert Cones,37,1,45320293 
315,Creamy Italian Dressing Marinade,89,13,45196193 
317,Best Grains Honey & Crunch Oat Bread,112,3,45102286 
319,Steamfresh Chef's Favorites Lightly Sauced Roasted Red Potatoes & Green Beans,116,1,45277397 
322,Brooklyn Pizza Dough,79,1,45210906 
323,Natural Food Color Packets,17,13,45205999 
324,Strong & Kind Roasted Jalapeno Almond Protein Bar,3,19,45222990 
325,Veggie-Style Mini Corn Dogs,42,1,45284238 
326,Deluxe Sauce Made with 2% Milk Cheese Macaroni & Cheese Dinner,4,9,45356432 
327,"Green Peas, Organic, Petite",116,1,45123073 
329,Organic Whole Grassmilk Milk,84,16,45047025 
330,Chilpotles in Adobo Sauce,30,6,45091522 
331,Organic Lemon Gingersnap,61,19,18172 
332,Raspberry Fig Bars,3,19,45015303 
334,Sparkling Raspberry Lemonade Water Beverage,115,7,45295920 
335,Blueberry Kombucha,31,7,45231620 
336,Black Currant Kombucha,31,7,45237673 
338,Yahrzeit Light Memorial Candle,33,6,45258981 
339,Creamline Yogurt Wild Blueberry,120,16,45136156 
340,Eco-Pac Kamut Puffs Cereal,121,14,45029766 
341,Cheese Creations Four Cheese Cheese Sauce,9,9,45332867 
343,Organic Whole Peeled Baby Carrots,123,4,45196890 
344,Lime Sherbet,37,1,45282532 
345,Extra Strength Berry,64,7,45354013 
346,Sunflower Bread,112,3,45351686 
347,"Vegetable Salad Kit, Sweet Kale",123,4,45331429 
348,Super Slimming Herbal Tea,94,7,45211968 
349,Organic Granulated Tapioca,17,13,45090972 
350,Mixed 12 Pack Lion's Share Ale,27,5,45368017 
352,Colby Jack & Mild Cheddar Combo Pack,21,16,45304843 
353,Tzatziki Greek Yogurt Dip,67,20,45045180 
355,Ground Flaxseed With Mixed Berries,117,19,45349929 
356,Ristorante Pizza Spinaci Thin Crust Pizza,79,1,45121111 
358,Frozen All Butter Pound Cake,119,1,18120 
359,Deli Thin-Sliced Honey Ham,96,20,45082557 
360,Whole Wheat Spanakopita,129,1,45200595 
362,Pound Cake Cake Mix,105,13,45321115 
363,Water Crackers Original All Natural,78,19,45057966 
364,Greener Selection Salad,123,4,45229840 
365,Cheerios Cereal,121,14,08013 
369,New Mexico Chili,30,6,45096584 
370,Chocolate Caramel Whey Protein Bar,3,19,45292072 
371,Juniper Berry Soda,77,7,45238522 
373,Honey Glazed Carrots,116,1,45319230 
374,Sliced Kosher Salami,96,20,45186300 
375,Multigrain Spaghetti Style Pasta,131,9,45357554 
379,Super Dry Beer,27,5,45137402 
380,Clementine Bag,123,4,09433 
381,Toaster Pops Strawberry,52,1,45027305 
382,Sugar Free Mint Patties,45,19,45319222 
383,Breaded Chicken Breast Tenders,34,1,05326 
385,Liquid Drink Mix Blackberry Lemonade,90,7,45140583 
387,Chocolate Brownie Flavor Protein Bar,3,19,45328688 
388,Stove Top Stuffing Mix for Turkey,4,9,18567 
389,Mache Blend,123,4,45210761 
391,Organic Yukon Gold Potato Bag,83,4,45184002 
392,OPA Greek Yogurt Ranch Dressing,89,13,45223485 
395,Sweet Cream Buttermilk Powder,17,13,45290043 
396,Cashews Natural Unsalted,37,1,45164638 
397,Pure Granulated Cane Sugar,17,13,45282067 
398,Organic Hard Candy Blood Orange and Honey,45,19,45166858 
399,Organic Strawberry Lemon-ade,31,7,45143775 
400,Grass-Fed Yogurt Blueberry Cardamom,120,16,45087231 
402,100% Pure Beef Homestyle Patties,34,1,45287015 
403,Ultra Thin Pastrami,96,20,45184324 
404,Reg; Organic Apple Cider Vinegar 16 Fl Oz,19,13,45362214 
405,100% Organic Diced Tomatoes,81,15,45104347 
406,Vanilla Almond Protein Bar,3,19,45083594 
409,Original Bite Size Candies Natural & Artificial Flavors Fun Size,45,19,45326685 
410,Holiday Sugar Plum Spice Herbal Tea,94,7,45206434 
414,Gluten Free Chicken Rustica Pizza,79,1,45203553 
417,Classics Baby Binks Easter Chocolate Bunny,100,21,45209098 
418,Whole Grain Linguine Pasta,131,9,45036206 
419,Light & Fit Strawberry Cheesecake Greek Nonfat Yogurt,120,16,45223629 
420,International Cafe French Vanilla Mix,26,7,14231 
421,Garlic & Herb Fresh Goat Cheese,21,16,45042340 
422,Mix-Up Flamin' Hot & Cheezy Mix Flavored Snack Mix,107,19,45248927 
423,Red Jalapeno Caesar Dressing,89,13,45056636 
424,Linguine Pasta,131,9,45283081 
425,Sardines in Water Salt Added,33,6,45323573 
426,2nd Foods Bananas,92,18,03022 
427,Italian Style Panko Breadcrumbs,5,13,45019134 
429,Dark Red Kidney Beans,59,15,45198223 
430,Born Yesterday Pale Ale,27,5,45078686 
431,"Ice Cream, Cookies & Cream",37,1,45276992 
432,Vanilla Almond Breeze Almond Milk,91,16,45237480 
433,Organic Whole Granulation Roasted Buckwheat Groats,107,19,20011 
435,Dark Chocolate Raisins,50,19,45105054 
436,Petite Brussels Sprouts,116,1,45277659 
437,Strawberry Cheesecake Nonfat Yogurt,100,21,45141082 
438,Special K Vanilla Cappuccino Protein Breakfast Shakes,48,14,45244071 
439,Crispy Cinnamon Pear Chips,50,19,45237339 
440,Crossovers Olive Thyme Almond,100,21,45167037 
444,Special Recipe Italian Bread,112,3,45100488 
445,Almond Honey Protein+ Bar,3,19,45222990 
446,Blueberry Pomegranate Acaí Cultured Goat Milk Kefir,120,16,45239620 
447,"Tea, Superflower, Hibiscus, Blueberry, Caffeine-Free, Bags",94,7,45233279 
448,White Chicken Chili,59,15,45320115 
449,Chips Ahoy! Chewy Cookies,61,19,45309172 
450,Chow Mein Thin Noodles,4,9,20113 
451,"Almond Spread, Dark Chocolate",88,13,45254815 
452,Sleepytime Sinus Soother Herbal Tea,94,7,45206445 
453,Hummus Wrap,13,20,45345109 
454,Sloppy Joe Sauce,51,13,45123042 
456,Sparkling Blueberry,77,7,45295915 
457,Whole Wheat Fig Bar,48,14,45117532 
459,Honey Vanilla Greek Yogurt,120,16,45198886 
460,Acai Dragonfruit Melon Green Tea,94,7,45079470 
463,Salt Free Seasoning,104,13,45101539 
464,Liquid Water Enhancer Peach Green Tea With Ginseng & Honey,90,7,45238484 
465,100% Natural Just Peaches,50,19,45157658 
466,Old Fashioned Vegetable Beef Soup,69,15,06434 
467,"Soup, Lower Sodium, Organic, Split Pea",69,15,45135756 
468,Kabocha Squash,83,4,03104 
469,Whipping Cream,53,16,01052 
470,Lite Beer,27,5,45361862 
471,Half 'n Half Lemonade Tea,94,7,45306004 
472,Fancy Diced Hot Chilies,100,21,45257662 
475,Organic Reposado Tequila,124,5,45066869 
476,Chub Mackerel,95,15,45237499 
477,Naturally Aged Cheddar Cheese Block Hot Habanero,21,16,45026786 
478,Organic Pitted Kalamata Olives,110,13,45341934 
479,Most Wanted Cabernet Sauvignon Red Wine,28,5,14097 
480,Slow Churned Mint Chocolate Chip Ice Cream,37,1,45245146 
481,Black Peppercorns,104,13,45346618 
483,"\""Constant Comment\"" Decaffeinated Black Tea Blend",94,7,45236641 
484,Plain Greek Goat Yogurt,120,16,01287 
486,Lowfat Raspberry Kefir Probiotic Cultured Milk Smoothie,120,16,45258635 
488,Organic Orange Turmeric Juice,31,7,45165749 
489,Dough for Turnover Pastries,58,1,45228384 
490,Gin Gins Candy,45,19,45008668 
491,Pompelmo Water,100,21,14555 
492,"Couscous, Israeli, Garlic Jalapeno",63,9,45045157 
493,Pear and Blueberry Baby Breakfast,92,18,45252419 
494,Yellow Cherry Tomato,83,4,11696 
495,Pure Cane Granulated W/Spout Sugar,17,13,45282067 
497,Mascarpone Pistachio Caramel Gelato,37,1,45169476 
502,"Frozen Desserts, Fit, Salted Caramel",37,1,45081790 
503,Wild Rice Blend,68,10,45016766 
504,Velveeta Shells & Cheese Bold Jalapeno,4,9,45314083 
505,100% Natural String Cheese Mozzarella Cheese,21,16,45044524 
507,Tikka Masala Curry Sauce,72,13,45239007 
508,Freeze-Dried Edamame Veggie Snack,50,19,45315074 
509,Starting Solids Carrots Organic Baby Food,92,18,45360817 
510,Protein Blend Honey Oats & Seeds Cereal,121,14,43570 
512,Multigrain Pop Cakes,107,19,45006294 
513,Honey Maid Graham Cracker Crumbs,17,13,45309246 
515,Organic Lowfat Pomegranate Acai Kefir Probiotic Cultured Milk Smoothie,120,16,45163364 
516,American Cheese Slices,21,16,45289931 
517,French Rolls,43,3,18349 
518,Turkey Meatloaf & Mashed Potatoes,38,1,45329549 
519,Antioxidant Infusions Brasilia Blueberry,31,7,45209208 
520,Sweet & Smokey Kansas City Bbq Sauce,72,13,45201472 
522,Coffee Liqueur,124,5,14414 
524,in Gravy with Carrots Peas & Corn Mashed Potatoes & Meatloaf Nuggets,92,18,45350771 
526,Alcohol Free Maple Flavor,104,13,45159918 
530,7UP,77,7,45312039 
532,Unsalted Pretzel Round,107,19,25024 
533,Stuffed Pasta Shells,38,1,45331355 
534,"Tomato Paste with Basil, Oregano & Garlic Flavor",81,15,45130387 
536,Belgian Waffles,52,1,45277369 
537,Kosher Dill Babies,110,13,45278860 
539,Tri Color Tortilla Strips,89,13,45339643 
540,Beef Strips Portabella Complete Meals,38,1,45335088 
543,Rice & Bean Snack Chips With Adzuki Beans Chipotle Cheese,107,19,45015141 
544,Classic Original Hummus,67,20,45177830 
545,Creamy Danish Blue Cheese Wedge,21,16,45174374 
546,Tomatillo Salsa,51,13,45199796 
548,Hi-Chew Strawberry Fruit,66,6,45162178 
549,Cranberry Almond Fruit Clusters Dried Cranberries,125,19,45110566 
550,"Granola, Veritas, Organic",57,14,45022718 
551,"Riesling, Mosel, 2014",62,5,45087137 
552,Organic Mango Peach Carrot Kickstart Smoothie,116,1,45110780 
553,BBQ Concentrate & Marinade Sauce,5,13,45236021 
554,Turkey Chili,1,20,45196469 
556,Bake & Break Cheese Garlic Loaf,100,21,45126510 
557,Red Seedless Grapes Imported,24,4,45364522 
558,Organic Raw Almond Butter,88,13,45190975 
559,Cookie Chips Crunchy Dark Chocolate Chocolate Chip Cookies,61,19,45136309 
560,Tea Temples Green Tea With Mint,94,7,45104556 
561,Smoke Roasted Wild Sockeye Asian Sesame Salmon,15,12,45345183 
562,Traditional Tartar Sauce,100,21,27049 
565,Light and Fluffy  Blueberry Pancake Mix,130,14,45270197 
566,Organic Thin Sliced 100% Whole Wheat Bread,112,3,45373358 
567,Malbec Red Wine,28,5,02068 
568,Artisan Style Melts Quattro Formaggi Pizza,79,1,45245851 
569,Golden Cupcakes 8 Pack,61,19,45208395 
570,White Chicken Chili with Beans Pouch,59,15,45320115 
571,Thin & Crispy Crust Pepperoni Pizza,79,1,21491 
574,Crunch Vanilla Sugar Mini Cookies,61,19,45212715 
575,Organic Medium Yellow Thai Curry,72,13,45212890 
576,Vanilla Sugar Cookies,61,19,18204 
580,Washington State Merlot,28,5,45349234 
581,Garnet Sweet Potato (Yam),83,4,45196188 
582,Lite Whipped Topping,119,1,45126285 
584,Organic Blueberry Pomegranate Whole Milk Yogurt,120,16,45286724 
585,Pretzel Thins Parmesan Herb Crackers,78,19,45224126 
588,Special K Original Cereal,121,14,45244100 
589,Salsa Roja,51,13,45281574 
590,Almonds Roasted and Salted,117,19,45160921 
591,Oreo Cookies and Cream Chocolate Frozen Dairy Dessert,37,1,45359882 
592,SpongeBob Shapes Macaroni & Cheese Dinner,4,9,45214528 
593,"Linguine, No. 6",131,9,45325353 
594,Gluten Free Peanut Butter Berry  Chewy With A Crunch Granola Bars,3,19,45085672 
595,Injera Flat Bread,128,3,45126535 
598,Cabernet Sauvignon California,28,5,14097 
600,Thick & Zesty Spaghetti Sauce Mix,104,13,45107574 
601,Organic Crunchy Slaw Americana Salad,123,4,45110141 
602,Banana Chocolate Chip,52,1,19400 
606,Salted Caramel Ice Cream,37,1,45140246 
607,Goober Strawberry,88,13,45259309 
608,Sparkling Lemon Seltzer Water,115,7,45321223 
609,Clarified Lime Juice,17,13,45255801 
610,Mac & Cheezy Ravioli For Kids,38,1,45084886 
611,Uncured Hard Salami,96,20,45187034 
612,"Rice, Extra Long Grain, Enriched",63,9,45342772 
614,Plain Dairy-Free Probiotic Drinkable Cashewgurt,100,21,45274266 
615,Supreme Pretzel Crackers,107,19,45269165 
616,Silken Tofu,14,20,45083942 
617,Organic Mozzarella,21,16,45352249 
618,Apple Sparkling Juice Beverage,98,7,45163416 
619,Spanish Peanuts,117,19,16091 
621,98% Fat Free Cream Of Chicken Soup,69,15,19877 
622,Fudge Brownies with English Walnuts,61,19,45112716 
623,Fun Size Snacks,45,19,45326685 
624,Chub Chorizo,100,21,45237499 
625,"Chicken Breast Nuggets, Dinosaur Shaped",34,1,45220746 
626,Organic Hearty Garden Vegetable Soup,69,15,45307194 
627,Low Fat Honey Graham Crackers,61,19,45361944 
628,Fresh Oj,98,7,45369870 
630,Snack Size Candy,45,19,45363919 
631,Original Puffcorn,107,19,45229338 
633,Coconut Milk Creamer Barista Style Original,91,16,45136569 
634,Organic California Blend,116,1,45110985 
635,Little Bites Snickerdoodle Muffins,61,19,45112219 
636,Red Raspberry Jam,88,13,45308630 
637,Multigrain Peanut Butter Cereal,121,14,45312711 
638,Won Ton Wrappers,66,6,45175777 
639,Green Berry Rush Juice Drink,98,7,45306045 
640,Spicy Tomato & Basil Pasta Sauce,9,9,45104039 
641,Cheddar Cheese Curds,21,16,45188319 
642,Three Cheese Ravioli,12,9,45170650 
643,"Kidney Beans, Dark, Premium",30,6,45227778 
644,Organic Southwestern Vegetable Soup,69,15,45047173 
646,Organic Fruit Punch,98,7,45351962 
647,Melanie Medleys Vegetable Cream Cheese,53,16,45178308 
648,Elbow Macaroni,131,9,45150611 
649,Classic coke,77,7,45249999 
650,Pop'n Hot! Vegan Broccoli Poppers,50,19,45033737 
651,Organic Salted Butter,36,16,45041119 
652,Garden Strawberry Fruit Spread,88,13,45118298 
653,"Flax, Oat Bran & Whole Wheat Flour Tortillas",128,3,45225820 
655,Fettucine Paglia & Fieno Enriched Egg Pasta,131,9,45349572 
657,"Nutrition Bar, Raw Organic, Pineapple Almond + Raw Protein",3,19,45332403 
